freq,attenuation_db
1.640000000000000000e+09,1.178132557260651403e+01
1.650000000000000000e+09,1.175336517621643218e+01
1.660000000000000000e+09,1.172531448289460876e+01
1.670000000000000000e+09,1.169717290753061079e+01
1.680000000000000000e+09,1.166893985930837019e+01
1.690000000000000000e+09,1.164061474163176335e+01
1.700000000000000000e+09,1.161219695204896496e+01
1.710000000000000000e+09,1.158368588217556905e+01
1.720000000000000000e+09,1.155508091761643108e+01
1.730000000000000000e+09,1.152638143788623104e+01
1.740000000000000000e+09,1.149758681632871316e+01
1.750000000000000000e+09,1.146869642003458090e+01
1.760000000000000000e+09,1.143970960975803308e+01
1.770000000000000000e+09,1.141062573983188777e+01
1.780000000000000000e+09,1.138144415808129395e+01
1.790000000000000000e+09,1.135216420573597240e+01
1.800000000000000000e+09,1.132278521734099819e+01
1.810000000000000000e+09,1.129330652066603236e+01
1.820000000000000000e+09,1.126372743661304909e+01
1.830000000000000000e+09,1.123404727912245349e+01
1.840000000000000000e+09,1.120426535507760946e+01
1.850000000000000000e+09,1.117438096420771032e+01
1.860000000000000000e+09,1.114439339898899561e+01
1.870000000000000000e+09,1.111430194454422526e+01
1.880000000000000000e+09,1.108410587854043428e+01
1.890000000000000000e+09,1.105380447108488440e+01
1.900000000000000000e+09,1.102339698461921635e+01
1.910000000000000000e+09,1.099288267381171025e+01
1.920000000000000000e+09,1.096226078544768612e+01
1.930000000000000000e+09,1.093153055831793097e+01
1.940000000000000000e+09,1.090069122310516114e+01
1.950000000000000000e+09,1.086974200226847032e+01
1.960000000000000000e+09,1.083868210992569203e+01
1.970000000000000000e+09,1.080751075173366260e+01
1.980000000000000000e+09,1.077622712476632927e+01
1.990000000000000000e+09,1.074483041739064504e+01
2.000000000000000000e+09,1.071331980914023418e+01
2.010000000000000000e+09,1.068169447058672183e+01
2.020000000000000000e+09,1.064995356320875430e+01
2.030000000000000000e+09,1.061809623925857871e+01
2.040000000000000000e+09,1.058612164162620495e+01
2.050000000000000000e+09,1.055402890370101865e+01
2.060000000000000000e+09,1.052181714923086098e+01
2.070000000000000000e+09,1.048948549217846526e+01
2.080000000000000000e+09,1.045703303657522198e+01
2.090000000000000000e+09,1.042445887637219926e+01
2.100000000000000000e+09,1.039176209528835670e+01
2.110000000000000000e+09,1.035894176665589228e+01
2.120000000000000000e+09,1.032599695326265454e+01
2.130000000000000000e+09,1.029292670719156888e+01
2.140000000000000000e+09,1.025973006965697643e+01
2.150000000000000000e+09,1.022640607083783415e+01
