freq,attenuation_db
4.500000000000000000e+08,8.034163154464073386e+01
4.600000000000000000e+08,8.023040357120588340e+01
4.700000000000000000e+08,8.011891602233512799e+01
4.800000000000000000e+08,8.000716768363884057e+01
4.900000000000000000e+08,7.989515733218529192e+01
5.000000000000000000e+08,7.978288373642047304e+01
5.100000000000000000e+08,7.967034565608679486e+01
5.200000000000000000e+08,7.955754184214086422e+01
5.300000000000000000e+08,7.944447103667033616e+01
5.400000000000000000e+08,7.933113197280972884e+01
5.500000000000000000e+08,7.921752337465525784e+01
5.600000000000000000e+08,7.910364395717869002e+01
5.700000000000000000e+08,7.898949242614007460e+01
5.800000000000000000e+08,7.887506747799953644e+01
5.900000000000000000e+08,7.876036779982791813e+01
6.000000000000000000e+08,7.864539206921641323e+01
6.100000000000000000e+08,7.853013895418509094e+01
6.200000000000000000e+08,7.841460711309031240e+01
6.300000000000000000e+08,7.829879519453102432e+01
6.400000000000000000e+08,7.818270183725381628e+01
6.500000000000000000e+08,7.806632567005711110e+01
6.600000000000000000e+08,7.794966531169380630e+01
6.700000000000000000e+08,7.783271937077300606e+01
6.800000000000000000e+08,7.771548644566041730e+01
6.900000000000000000e+08,7.759796512437755212e+01
7.000000000000000000e+08,7.748015398449975066e+01
7.100000000000000000e+08,7.736205159305275458e+01
7.200000000000000000e+08,7.724365650640824299e+01
7.300000000000000000e+08,7.712496727017791898e+01
7.400000000000000000e+08,7.700598241910626029e+01
7.500000000000000000e+08,7.688670047696207632e+01
7.600000000000000000e+08,7.676711995642850184e+01
7.700000000000000000e+08,7.664723935899186813e+01
7.800000000000000000e+08,7.652705717482886882e+01
7.900000000000000000e+08,7.640657188269256039e+01
8.000000000000000000e+08,7.628578194979684213e+01
8.100000000000000000e+08,7.616468583169935869e+01
8.200000000000000000e+08,7.604328197218313790e+01
8.300000000000000000e+08,7.592156880313650902e+01
8.400000000000000000e+08,7.579954474443155732e+01
8.500000000000000000e+08,7.567720820380112912e+01
8.600000000000000000e+08,7.555455757671406047e+01
8.700000000000000000e+08,7.543159124624899903e+01
8.800000000000000000e+08,7.530830758296646366e+01
8.900000000000000000e+08,7.518470494477925570e+01
9.000000000000000000e+08,7.506078167682127855e+01
9.100000000000000000e+08,7.493653611131459513e+01
9.200000000000000000e+08,7.481196656743469475e+01
9.300000000000000000e+08,7.468707135117416840e+01
9.400000000000000000e+08,7.456184875520433764e+01
9.500000000000000000e+08,7.443629705873532032e+01
9.600000000000000000e+08,7.431041452737416364e+01
9.700000000000000000e+08,7.418419941298098763e+01
9.800000000000000000e+08,7.405764995352342339e+01
9.900000000000000000e+08,7.393076437292893388e+01
1.000000000000000000e+09,7.380354088093528730e+01
1.010000000000000000e+09,7.367597767293901256e+01
1.020000000000000000e+09,7.354807292984183675e+01
1.030000000000000000e+09,7.341982481789493420e+01
1.040000000000000000e+09,7.329123148854125702e+01
1.050000000000000000e+09,7.316229107825566302e+01
1.060000000000000000e+09,7.303300170838284089e+01
1.070000000000000000e+09,7.290336148497314639e+01
1.080000000000000000e+09,7.277336849861603696e+01
1.090000000000000000e+09,7.264302082427138885e+01
1.100000000000000000e+09,7.251231652109842685e+01
1.110000000000000000e+09,7.238125363228236608e+01
1.120000000000000000e+09,7.224983018485858111e+01
1.130000000000000000e+09,7.211804418953443019e+01
1.140000000000000000e+09,7.198589364050857853e+01
1.150000000000000000e+09,7.185337651528780611e+01
1.160000000000000000e+09,7.172049077450131449e+01
1.170000000000000000e+09,7.158723436171237609e+01
1.180000000000000000e+09,7.145360520322746822e+01
1.190000000000000000e+09,7.131960120790247970e+01
1.200000000000000000e+09,7.118522026694654414e+01
1.210000000000000000e+09,7.105046025372286067e+01
